Case_Study_ID,Question_ID,Scenario_Text,Question_Text,Option_A,Option_B,Option_C,Option_D,Correct_Option,Reasoning
29,2,"Mr. Veera is a trader of readymade garments and is registered under GST in the State of Uttar Pradesh. His turnover is ` 1,80,00,000 during the current financial year.  The composition of his turnover is as under- (a) Intra-State - ` 80,00,000 (b) Inter-State - ` 1,00,00,000 [including exempt supplies of ` 15,00,000] His inward supplies are as under- (a) Inter-State - ` 1,00,30,000 [including ` 20,00,000 exclusively used for exempt supplies] (b) Intra-State ` 46,00,000 [including ` 15,00,000 exclusively used for taxable supplies] Apart from above, Mr. Veera has undertaken following transactions during the current financial year: 1. He purchased a pick-up van for the purpose of delivery of goods to his customers for ` 1,70,000. 2. He got his showroom renovated (debited all expenses under repairs and maintenance) and spent money as under- Labour charges ` 3,60,000 Architect fees ` 80,000 Wooden flooring ` 4,00,000 Miscellaneous expenses ` 1,62,000 3. He purchased some T-shirts for ` 1,80,000 (taxable under GST).  After one week, he gave them away free to its customers to promote his business. 4. He also sold his shares during the year for ` 10 crore and bought a house from that money. 5. The rates of tax are 9% (CGST), 9% (SGST) and 18% (IGST) on all inward/ outward supplies. 6. All the amounts given above are exclusive of taxes, wherever applicable. 7. The opening balance of input tax credit for the relevant tax period of Mr. Veera is Nil.  Subject to the information given above, assume that all the other conditions necessary for availing ITC have been fulfilled. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-",Which of the following statements is true?,"Mr. Veera cannot claim ITC on van purchased for delivery of goods, expenses incurred on renovation of showroom and T-shirts distributed free of cost.","Mr. Veera can claim ITC on van purchased for delivery of goods and T-shirts distributed free of cost, but cannot claim ITC on expenses incurred on renovation of showroom.","Mr. Veera can claim ITC on van purchased for delivery of goods, expenses incurred on renovation of showroom and T-shirts distributed free of cost.","Mr. Veera can claim ITC on van purchased for delivery of goods and expenses incurred on renovation of showroom, but cannot claim ITC on T-shirts distributed free of cost.",D,"As per section 17(5): (a) ITC can be availed on motor vehicle used for transportation of goods. (b) ITC is blocked on goods or services or both received by a taxable person for construction of an immovable property (other than plant or machinery) on his own account.  Here, construction, inter alia, includes renovation or repair to the extent of capitalization to the said immovable property. Since Mr. Veera has debited all renovation expenses under repair and maintenance, ITC on same shall be available. (c) ITC is blocked on goods lost, stolen, destroyed, written off or disposed of by way of gift or free samples. Accordingly, Mr. Veera can claim ITC on van purchased for delivery of goods and expenses incurred on renovation of showroom, but cannot claim ITC on T-shirts distributed free of cost."
29,3,"Mr. Veera is a trader of readymade garments and is registered under GST in the State of Uttar Pradesh. His turnover is ` 1,80,00,000 during the current financial year.  The composition of his turnover is as under- (a) Intra-State - ` 80,00,000 (b) Inter-State - ` 1,00,00,000 [including exempt supplies of ` 15,00,000] His inward supplies are as under- (a) Inter-State - ` 1,00,30,000 [including ` 20,00,000 exclusively used for exempt supplies] (b) Intra-State ` 46,00,000 [including ` 15,00,000 exclusively used for taxable supplies] Apart from above, Mr. Veera has undertaken following transactions during the current financial year: 1. He purchased a pick-up van for the purpose of delivery of goods to his customers for ` 1,70,000. 2. He got his showroom renovated (debited all expenses under repairs and maintenance) and spent money as under- Labour charges ` 3,60,000 Architect fees ` 80,000 Wooden flooring ` 4,00,000 Miscellaneous expenses ` 1,62,000 3. He purchased some T-shirts for ` 1,80,000 (taxable under GST).  After one week, he gave them away free to its customers to promote his business. 4. He also sold his shares during the year for ` 10 crore and bought a house from that money. 5. The rates of tax are 9% (CGST), 9% (SGST) and 18% (IGST) on all inward/ outward supplies. 6. All the amounts given above are exclusive of taxes, wherever applicable. 7. The opening balance of input tax credit for the relevant tax period of Mr. Veera is Nil.  Subject to the information given above, assume that all the other conditions necessary for availing ITC have been fulfilled. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-",Calculate the amount of input tax credit credited to electronic credit ledger of Mr. Veera (ignore individual heads of CGST/SGST/IGST).,"` 24,84,360","` 22,73,400","` 23,04,000","` 24,53,760",A,"Computation of ITC credited to electronic credit ledger of Mr. Veera Particulars Amount (`) Inward supplies: Inter-State 1,00,30,000 Intra-State 46,00,000 Pick up van 1,70,000 Renovation of showroom (3,60,000 + 80,000 + 4,00,000 + 1,62,000) 10,02,000 T-shirts 1,80,000 Total inward supplies 1,59,82,000 Total GST paid on inward supplies (` 1,59,82,000 x 18%) 28,76,760 Less: ITC on inward supplies exclusively used for exempt supplies (` 20,00,000 x 18%) (3,60,000) Less: ITC blocked under section 17(5) (` 1,80,000 x 18%) -ITC on T - shirts is blocked as ITC is blocked on free samples. (32,400) ITC credited to electronic credit ledger of Mr. Veera 24,84,360 So, the amount of input tax credit credited to electronic credit ledger of Mr. Veera is ` 24,84,360."
29,4,"Mr. Veera is a trader of readymade garments and is registered under GST in the State of Uttar Pradesh. His turnover is ` 1,80,00,000 during the current financial year.  The composition of his turnover is as under- (a) Intra-State - ` 80,00,000 (b) Inter-State - ` 1,00,00,000 [including exempt supplies of ` 15,00,000] His inward supplies are as under- (a) Inter-State - ` 1,00,30,000 [including ` 20,00,000 exclusively used for exempt supplies] (b) Intra-State ` 46,00,000 [including ` 15,00,000 exclusively used for taxable supplies] Apart from above, Mr. Veera has undertaken following transactions during the current financial year: 1. He purchased a pick-up van for the purpose of delivery of goods to his customers for ` 1,70,000. 2. He got his showroom renovated (debited all expenses under repairs and maintenance) and spent money as under- Labour charges ` 3,60,000 Architect fees ` 80,000 Wooden flooring ` 4,00,000 Miscellaneous expenses ` 1,62,000 3. He purchased some T-shirts for ` 1,80,000 (taxable under GST).  After one week, he gave them away free to its customers to promote his business. 4. He also sold his shares during the year for ` 10 crore and bought a house from that money. 5. The rates of tax are 9% (CGST), 9% (SGST) and 18% (IGST) on all inward/ outward supplies. 6. All the amounts given above are exclusive of taxes, wherever applicable. 7. The opening balance of input tax credit for the relevant tax period of Mr. Veera is Nil.  Subject to the information given above, assume that all the other conditions necessary for availing ITC have been fulfilled. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-","Compute the amount of common credit as per rules 42 and 43 of the CGST Rules, 2017.","` 20,03,400","` 22,14,360","` 20,34,000","` 21,83,760",B,"Computation of the amount of common credit as per rules 42 and 43: Particulars Amount (`) Amount credited to electronic credit ledger (as per MCQ 3 working above) 24,84,360 Less: Amount exclusively used for taxable supplies (` 15,00,000 x 18%) (2,70,000) Common credit 22,14,360"
30,1,"Mr. Venkat, a practicing Chartered Accountant, based in Hyderabad, is registered under GST in the State of Telangana. He undertook following transactions/activities during the current financial year: (1) He provided consultancy services to Kuick Tours, a UK based entity engaged in the business of e-commerce in the field of tour and travels, having its office at UK. Kuick Tours paid a sum of Euro 95,000 to Mr. Venkat billed @ ` 75 per Euro.  Mr. Venkat made travel to UK several times during the year and incurred Euro 5,000 @ ` 75 as incidental expenses (including VAT paid ` 10,000) which was ultimately charged from Kuick Tours.  Kuick Tours also paid a sum of EURO 5,000 @ ` 75 to Mr. Venkat as interest on account of delay in payment of agreed consideration. Mr. Venkat also hired the services of a professional firm based in UK to complete the assignment of providing services to Kuick Tours and paid Euro 10,000 @ ` 75.  This was not recovered from Kuick Tours. (2) Mr. Venkat’s taxable earnings for services provided in India for the financial year are ` 85,00,000.  In addition to this, Mr. Venkat also provided return filing services free of charge in the month of July to Indian residents who were economically weaker.  Open market value of such services was ` 1,40,000. Further, in July, Mr. Venkat also provided financial services to his real brother Mr. Kamath who is working at an IT company and earning handsomely, for ` 75,000 (invoice raised at open market value).  However, Mr. Venkat offered him 90% discount on the invoice raised to him. Therefore, Mr. Kamath paid ` 7,500 only. (3) Dumdum Electricals Ltd., registered under GST in Guwahati, Assam approached Mr. Venkat to impart GST training to its accounts and finance personnel.  Mr. Venkat imparted the said training to 50 employees of Dumdum Electricals Ltd. at a conference room of Swaraj Hotel located in Siliguri, West Bengal on 25th August. Notes: The rates of tax are 9% (CGST), 9% (SGST) and 18% (IGST) on all inward/ outward supplies.  All the amounts given above are exclusive of taxes, wherever applicable. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-",Compute the value of supply made by Mr. Venkat to Kuick Tour (in Euros).,"1,20,000","1,05,000","1,15,000","1,25,000",B,"Computation of value of supply made by Mr. Venkat to Kuick Tour (in Euros) Particulars Euros Amount charged for consultancy services 95,000 Add: Incidental expenses [Incidental expenses charged by the supplier to the recipient of a supply are includible in the value of supply in terms of section 15(2)(c)] 5,000 Add: Interest on account of delay in payment of consideration [Interest or late fee or penalty for delayed payment of any consideration for any supply are includible in the value of supply in terms of section 15(2)(d)] 5,000 Value of supply 1,05,000"
30,2,"Mr. Venkat, a practicing Chartered Accountant, based in Hyderabad, is registered under GST in the State of Telangana. He undertook following transactions/activities during the current financial year: (1) He provided consultancy services to Kuick Tours, a UK based entity engaged in the business of e-commerce in the field of tour and travels, having its office at UK. Kuick Tours paid a sum of Euro 95,000 to Mr. Venkat billed @ ` 75 per Euro.  Mr. Venkat made travel to UK several times during the year and incurred Euro 5,000 @ ` 75 as incidental expenses (including VAT paid ` 10,000) which was ultimately charged from Kuick Tours.  Kuick Tours also paid a sum of EURO 5,000 @ ` 75 to Mr. Venkat as interest on account of delay in payment of agreed consideration. Mr. Venkat also hired the services of a professional firm based in UK to complete the assignment of providing services to Kuick Tours and paid Euro 10,000 @ ` 75.  This was not recovered from Kuick Tours. (2) Mr. Venkat’s taxable earnings for services provided in India for the financial year are ` 85,00,000.  In addition to this, Mr. Venkat also provided return filing services free of charge in the month of July to Indian residents who were economically weaker.  Open market value of such services was ` 1,40,000. Further, in July, Mr. Venkat also provided financial services to his real brother Mr. Kamath who is working at an IT company and earning handsomely, for ` 75,000 (invoice raised at open market value).  However, Mr. Venkat offered him 90% discount on the invoice raised to him. Therefore, Mr. Kamath paid ` 7,500 only. (3) Dumdum Electricals Ltd., registered under GST in Guwahati, Assam approached Mr. Venkat to impart GST training to its accounts and finance personnel.  Mr. Venkat imparted the said training to 50 employees of Dumdum Electricals Ltd. at a conference room of Swaraj Hotel located in Siliguri, West Bengal on 25th August. Notes: The rates of tax are 9% (CGST), 9% (SGST) and 18% (IGST) on all inward/ outward supplies.  All the amounts given above are exclusive of taxes, wherever applicable. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-",Compute aggregate turnover of Mr. Venkat for the current financial year.,"` 1,78,75,000","` 1,86,25,000","` 1,63,82,500","` 1,80,90,000",C,"Computation of aggregate turnover: Particulars ` Services to Kuick (Euros 105,000 × ` 75) 78,75,000 Taxable services provided in India 85,00,000 Free of charge return filing services (It is not a supply in terms of section 7 since services have been provided to unrelated persons without consideration.) - Financial services provided to brother - Mr. Kamath 7,500 [Since Mr. Kamath - brother of Mr. Venkat - is not wholly or mainly dependent on Mr. Venkat, they cannot be considered as related person not being the members of the same family, in terms of explanation of section 15 and section 2(49). Therefore, the value of supply of financial services to brother will be price actually paid or payable.] Aggregate turnover 1,63,82,500"
30,3,"Mr. Venkat, a practicing Chartered Accountant, based in Hyderabad, is registered under GST in the State of Telangana. He undertook following transactions/activities during the current financial year: (1) He provided consultancy services to Kuick Tours, a UK based entity engaged in the business of e-commerce in the field of tour and travels, having its office at UK. Kuick Tours paid a sum of Euro 95,000 to Mr. Venkat billed @ ` 75 per Euro.  Mr. Venkat made travel to UK several times during the year and incurred Euro 5,000 @ ` 75 as incidental expenses (including VAT paid ` 10,000) which was ultimately charged from Kuick Tours.  Kuick Tours also paid a sum of EURO 5,000 @ ` 75 to Mr. Venkat as interest on account of delay in payment of agreed consideration. Mr. Venkat also hired the services of a professional firm based in UK to complete the assignment of providing services to Kuick Tours and paid Euro 10,000 @ ` 75.  This was not recovered from Kuick Tours. (2) Mr. Venkat’s taxable earnings for services provided in India for the financial year are ` 85,00,000.  In addition to this, Mr. Venkat also provided return filing services free of charge in the month of July to Indian residents who were economically weaker.  Open market value of such services was ` 1,40,000. Further, in July, Mr. Venkat also provided financial services to his real brother Mr. Kamath who is working at an IT company and earning handsomely, for ` 75,000 (invoice raised at open market value).  However, Mr. Venkat offered him 90% discount on the invoice raised to him. Therefore, Mr. Kamath paid ` 7,500 only. (3) Dumdum Electricals Ltd., registered under GST in Guwahati, Assam approached Mr. Venkat to impart GST training to its accounts and finance personnel.  Mr. Venkat imparted the said training to 50 employees of Dumdum Electricals Ltd. at a conference room of Swaraj Hotel located in Siliguri, West Bengal on 25th August. Notes: The rates of tax are 9% (CGST), 9% (SGST) and 18% (IGST) on all inward/ outward supplies.  All the amounts given above are exclusive of taxes, wherever applicable. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-","What is value of supply made by Mr. Venkat to Mr. Kamath if Mr. Kamath is the son of Mr. Venkat and not his brother and supply is made free of cost, other facts remaining the same?","` 7,500","` 75,000",Not a supply since they are related,Value cannot be determined,B,"If Mr. Kamath is the son of Mr. Venkat and not his brother and supply is made free of cost, other facts remaining the same, Mr. Venkat and Mr. Kamath are related in terms of explanation of section 15 read with section 2(49) and value of such supply will be determined in terms of rule 28. In that case, price actually paid will not the value of supply.  Instead, the value of supply made by Mr. Venkat to Mr. Kamath will be the open market value = ` 75,000 (in terms of rule 28)."
30,4,"Mr. Venkat, a practicing Chartered Accountant, based in Hyderabad, is registered under GST in the State of Telangana. He undertook following transactions/activities during the current financial year: (1) He provided consultancy services to Kuick Tours, a UK based entity engaged in the business of e-commerce in the field of tour and travels, having its office at UK. Kuick Tours paid a sum of Euro 95,000 to Mr. Venkat billed @ ` 75 per Euro.  Mr. Venkat made travel to UK several times during the year and incurred Euro 5,000 @ ` 75 as incidental expenses (including VAT paid ` 10,000) which was ultimately charged from Kuick Tours.  Kuick Tours also paid a sum of EURO 5,000 @ ` 75 to Mr. Venkat as interest on account of delay in payment of agreed consideration. Mr. Venkat also hired the services of a professional firm based in UK to complete the assignment of providing services to Kuick Tours and paid Euro 10,000 @ ` 75.  This was not recovered from Kuick Tours. (2) Mr. Venkat’s taxable earnings for services provided in India for the financial year are ` 85,00,000.  In addition to this, Mr. Venkat also provided return filing services free of charge in the month of July to Indian residents who were economically weaker.  Open market value of such services was ` 1,40,000. Further, in July, Mr. Venkat also provided financial services to his real brother Mr. Kamath who is working at an IT company and earning handsomely, for ` 75,000 (invoice raised at open market value).  However, Mr. Venkat offered him 90% discount on the invoice raised to him. Therefore, Mr. Kamath paid ` 7,500 only. (3) Dumdum Electricals Ltd., registered under GST in Guwahati, Assam approached Mr. Venkat to impart GST training to its accounts and finance personnel.  Mr. Venkat imparted the said training to 50 employees of Dumdum Electricals Ltd. at a conference room of Swaraj Hotel located in Siliguri, West Bengal on 25th August. Notes: The rates of tax are 9% (CGST), 9% (SGST) and 18% (IGST) on all inward/ outward supplies.  All the amounts given above are exclusive of taxes, wherever applicable. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-",The place of supply of the GST training imparted by Mr. Venkat to the accounts and finance personnel of Dumdum Electricals Ltd. is ___________.,"Hyderabad, Telangana","Guwahati, Assam","Siliguri, West Bengal","Either (a) or (b), at the option of Mr. Venkat",B,"As per section 12(5) of the IGST Act, 2017, the place of supply of services in relation to training and performance appraisal to a registered person, shall be the location of such person. So, place of supply of the GST training imparted by Mr. Venkat to the accounts and finance personnel of Dumdum Electricals Ltd. registered under GST in Guwahati, Assam, is Guwahati, Assam."
31,1,"Jaskaran, a registered supplier of Delhi, is engaged in supplying a bouquet of taxable goods and services.  He has made the following supplies in the month of January: S. No. Particulars Amount* (`) (i) Supply of 20,000 packages at ` 30 each to Sukhija Gift Shop in Punjab [Each package consists of 2 chocolates, 2 fruit juice bottles and a packet of toy balloons] 6,00,000 (ii) 500 packages each consisting of 1 chocolate and 1 fruit juice bottle given as free gift to Delhi customers on the occasion of Lohri [Cost of each package is ` 12, but the open market value of such package of goods and of goods of like kind and quality is not available.  Input tax credit has not been taken on the items contained in the package] (iii) Catering services provided to elder brother free of cost for his business function in Delhi [Cost of providing said services is ` 55,000, but the open market value of such services and of services of like kind and quality is not available.] *excluding GST Following additional information has been furnished by Jaskaran: 1. Penalty of ` 10,000 was collected in lumpsum in the month of March from Sukhija Gift Shop since the payment was received with a delay of 60 days. 2. One of the old customers of Jaskaran – Mr. Bahubali of Delhi- approached him requesting him to arrange the transportation of the goods purchased by him from a local supplier.  Jaskaran arranged the transportation of said goods for Mr. Bahubali through a truck owned by him for local transport of goods.  Jaskaran did not issue a consignment note to Mr. Bahubali. 3. Assume the rates of GST to be as under: Goods/services supplied CGST11 SGST IGST Chocolates 9% 9% 18% Fruit juice bottles 6% 6% 12% Toy balloons 2.5% 2.5% 5% Catering service 9% 9% 18% Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-",GST payable on packages supplied to Sukhija Gift Shop in January and in March is (1) _________ and (2) __________ respectively.,"(1) IGST - ` 1,09,526; (2) nil","(1) CGST - ` 54,763; SGST - ` 54,763; (2) nil","(1) IGST - ` 1,08,000; (2) IGST - ` 1,526","(1) CGST - ` 54,000; SGST - ` 54,000; (2) CGST - ` 763; SGST - ` 763",C,"It is an inter-State supply since place of supply is the location of the goods at the time at which the movement of goods terminates for delivery to the recipient, i.e. Punjab and location of supplier is Delhi. Further, as per section 12(6), the time of supply to the extent it relates to an addition in the value of supply by way of interest, late fee or penalty for delayed payment of any consideration shall be the date on which the supplier receives such addition in value.  Therefore, GST on penalty collected in March would be payable in March. GST on original consideration [taxable at the highest rate of tax of 18% being a mixed supply, in terms of section 2(74) read with section 8(b)] would be payable in January. GST payable in January = ` 6,00,000 × 18% = `1,08,000 GST payable in March = ` 10,000 × 18/118 = `1,526 [Since the penalty has been received in lumpsum, it is inclusive of GST.  Further, it will be taxed at the same rate of tax as the original supply.]"
31,2,"Jaskaran, a registered supplier of Delhi, is engaged in supplying a bouquet of taxable goods and services.  He has made the following supplies in the month of January: S. No. Particulars Amount* (`) (i) Supply of 20,000 packages at ` 30 each to Sukhija Gift Shop in Punjab [Each package consists of 2 chocolates, 2 fruit juice bottles and a packet of toy balloons] 6,00,000 (ii) 500 packages each consisting of 1 chocolate and 1 fruit juice bottle given as free gift to Delhi customers on the occasion of Lohri [Cost of each package is ` 12, but the open market value of such package of goods and of goods of like kind and quality is not available.  Input tax credit has not been taken on the items contained in the package] (iii) Catering services provided to elder brother free of cost for his business function in Delhi [Cost of providing said services is ` 55,000, but the open market value of such services and of services of like kind and quality is not available.] *excluding GST Following additional information has been furnished by Jaskaran: 1. Penalty of ` 10,000 was collected in lumpsum in the month of March from Sukhija Gift Shop since the payment was received with a delay of 60 days. 2. One of the old customers of Jaskaran – Mr. Bahubali of Delhi- approached him requesting him to arrange the transportation of the goods purchased by him from a local supplier.  Jaskaran arranged the transportation of said goods for Mr. Bahubali through a truck owned by him for local transport of goods.  Jaskaran did not issue a consignment note to Mr. Bahubali. 3. Assume the rates of GST to be as under: Goods/services supplied CGST11 SGST IGST Chocolates 9% 9% 18% Fruit juice bottles 6% 6% 12% Toy balloons 2.5% 2.5% 5% Catering service 9% 9% 18% Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-",GST on services of transportation of goods provided by Jaskaran to Mr. Bahubali:,is payable by Mr. Bahubali @ 5%.,is payable by Jaskaran @ 12%.,is payable by Mr. Bahubali @ 12%.,is not payable at all.,D,"Services by way of transportation of goods by road except the services of a goods transportation agency and a courier agency are exempt from GST vide Entry 18 of Notification No. 12/2017 Central Tax (Rate) dated 28.06.2017.  Since Jaskaran did not issue a consignment note to Mr. Bahubali, it is not a Goods Transport Agency and services provided by Jaskaran to Bahubali are exempt from GST."
31,3,"Jaskaran, a registered supplier of Delhi, is engaged in supplying a bouquet of taxable goods and services.  He has made the following supplies in the month of January: S. No. Particulars Amount* (`) (i) Supply of 20,000 packages at ` 30 each to Sukhija Gift Shop in Punjab [Each package consists of 2 chocolates, 2 fruit juice bottles and a packet of toy balloons] 6,00,000 (ii) 500 packages each consisting of 1 chocolate and 1 fruit juice bottle given as free gift to Delhi customers on the occasion of Lohri [Cost of each package is ` 12, but the open market value of such package of goods and of goods of like kind and quality is not available.  Input tax credit has not been taken on the items contained in the package] (iii) Catering services provided to elder brother free of cost for his business function in Delhi [Cost of providing said services is ` 55,000, but the open market value of such services and of services of like kind and quality is not available.] *excluding GST Following additional information has been furnished by Jaskaran: 1. Penalty of ` 10,000 was collected in lumpsum in the month of March from Sukhija Gift Shop since the payment was received with a delay of 60 days. 2. One of the old customers of Jaskaran – Mr. Bahubali of Delhi- approached him requesting him to arrange the transportation of the goods purchased by him from a local supplier.  Jaskaran arranged the transportation of said goods for Mr. Bahubali through a truck owned by him for local transport of goods.  Jaskaran did not issue a consignment note to Mr. Bahubali. 3. Assume the rates of GST to be as under: Goods/services supplied CGST11 SGST IGST Chocolates 9% 9% 18% Fruit juice bottles 6% 6% 12% Toy balloons 2.5% 2.5% 5% Catering service 9% 9% 18% Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-",Supply of 500 packages given as free gift to Delhi customers on the occasion of Lohri is _______________.,a mixed supply,not a supply under the GST law,a composite supply 11 Hypothetical rates of GST have been taken,a separate supply of chocolate and fruit juice bottle,B,Supply of 500 packages given as free gift to Delhi customers on the occasion of Lohri is not a supply in terms of section 7 since supply of goods has been made to unrelated persons (customers not being related persons) without consideration.
31,4,"Jaskaran, a registered supplier of Delhi, is engaged in supplying a bouquet of taxable goods and services.  He has made the following supplies in the month of January: S. No. Particulars Amount* (`) (i) Supply of 20,000 packages at ` 30 each to Sukhija Gift Shop in Punjab [Each package consists of 2 chocolates, 2 fruit juice bottles and a packet of toy balloons] 6,00,000 (ii) 500 packages each consisting of 1 chocolate and 1 fruit juice bottle given as free gift to Delhi customers on the occasion of Lohri [Cost of each package is ` 12, but the open market value of such package of goods and of goods of like kind and quality is not available.  Input tax credit has not been taken on the items contained in the package] (iii) Catering services provided to elder brother free of cost for his business function in Delhi [Cost of providing said services is ` 55,000, but the open market value of such services and of services of like kind and quality is not available.] *excluding GST Following additional information has been furnished by Jaskaran: 1. Penalty of ` 10,000 was collected in lumpsum in the month of March from Sukhija Gift Shop since the payment was received with a delay of 60 days. 2. One of the old customers of Jaskaran – Mr. Bahubali of Delhi- approached him requesting him to arrange the transportation of the goods purchased by him from a local supplier.  Jaskaran arranged the transportation of said goods for Mr. Bahubali through a truck owned by him for local transport of goods.  Jaskaran did not issue a consignment note to Mr. Bahubali. 3. Assume the rates of GST to be as under: Goods/services supplied CGST11 SGST IGST Chocolates 9% 9% 18% Fruit juice bottles 6% 6% 12% Toy balloons 2.5% 2.5% 5% Catering service 9% 9% 18% Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 4 below:-","For the purposes of GST law, value of supply of catering services provided by Jaskaran to his elder brother free of cost for his business function in Delhi is _____________.","` 60,500","` 55,000","` 60,500 or ` 55,000, whichever is lower",nil as catering services provided by Jaskaran to his elder brother is not a supply.,D,Catering services provided to elder brother free of cost for his business function in Delhi is not a supply in terms of section 7 since supply of goods has been made to unrelated person (elder brother not being wholly dependent on Jaskaran is not a related person) without consideration.
32,1,"Sudershan Transport Agency (P) Ltd. (hereinafter referred to as “STAL”), registered under GST in Jaipur, Rajasthan, is providing services by way of transportation of goods by road for which it issues consignment notes, to all the sectors of industries. It maintains trucks, trollers, advance carriages for heavy loads, lorries and small tractors, for the purpose of transportation and renting purposes. It also maintains special vehicles which has special storage features and other advance facilities for transporting defence equipments and other complex machineries, chemical and food products. It has provided the following details for the current financial year: (i) STAL rendered transportation services to farmers in Rajasthan for transportation of agricultural produce to nearby cities for ` 2,00,000. (ii) STAL gave buses on rent to ABC Travels who provided services of transport of students, staff and faculty to a higher secondary school in Rajasthan affiliated to CBSE.  STAL charged ` 5,00,000 for the same during the year. (iii) STAL also had entered into a contract with local authority in Rajasthan to provide services by way of transportation of relief material to flood affected victims for which ` 2,50,000 is charged. (iv) Manimani Bank, (registered in Bhubaneshwar, Orissa) sent its branch manager Mr. Champak on one year deputation on a special project to Bhopal, Madhya Pradesh.  Mr. Champak’s family is stationed in Kanpur (U.P.).  Manimani Bank enters into a contract with STAL for transportation of the household goods of Mr. Champak from Kanpur to Bhopal for ` 1,50,000. (v) STAL transported defence equipments to a military camp based in Rajasthan and amount charged for such services is ` 5,50,000. (vi) STAL provided service of transportation of goods to a co-operative society in Rajasthan which was newly constituted and hence was not registered under GST law and the amount charged was ` 3,00,000. While transporting the goods of the said co-operative society, STAL generated e-way bill on Monday at 12:04 am.  The goods were to be transported for a distance of 220 km. (vii) STAL owns and maintains its own petrol pump in Rajasthan wherein the revenue from supply of petrol was ` 20,00,000. Note: All the above amounts are exclusive of GST, wherever applicable, unless otherwise specified. Based on the facts of the case scenario given above, choose the most appropriate answer to Q. Nos. 1 to 5 below:",Determine the value of outward supplies made by STAL which are exempt from GST as per section 2(47).,"` 35,00,000","` 15,00,000","` 16,00,000","` 5,50,000",A,"Computation of the value of outward supplies made by STAL which are exempt from GST S. No. Particulars Amount* (`) (i) Supply of transportation services to farmers in Rajasthan for transportation of agricultural produce [Exempt in terms of Entry 21(a) of Notification No. 12/2017 Central Tax (Rate) dated 28.06.2017] 2,00,000 (ii) Buses given on rent to ABC Travels [Exempt in terms of Entry 22 of Notification No. 12/2017 Central Tax (Rate) dated 28.06.2017] 5,00,000 (iii) Supply of services by way of transportation of relief material to flood affected victims [Exempt in terms of Entry 21(g) of Notification No. 12/2017 Central Tax (Rate) dated 28.06.2017] 2,50,000 (iv) Supply of transportation of defence equipment to a military camp [Exempt in terms of Entry 21(h) of Notification No. 12/2017 Central Tax (Rate) dated 28.06.2017] 5,50,000 (v) Supply of petrol [It is a not a taxable supply in terms of charging section 9 of the CGST Act, 2017. Exempt supply includes non-taxable supply.] 20,00,000 Value of exempt outward supplies 35,00,000"
